총20017건
순번,판례ID,제목,법원,사건유형,판결유형,선고일자
5090,418068,신탁사업 관련하여 신탁자의 매입세액을 불공제한 처분은 적법함,서울고등법원,하급심,일반행정,2024.11.13
5091,418188,실질거래가 입증되지 못하였으므로 가공거래로 본 처분은 적법함,인천지방법원,하급심,일반행정,2024.11.07
5092,418196,법인이 토지 양도대금을 과소신고한 경우 사외유출된 귀속 불분명 금액에 대하여는 대표자에게 상여처분함,수원지방법원,하급심,일반행정,2024.11.13
5093,418200,법원의 감정결과에 따라 그 평가방법의 위법 부당하다고 볼 수 없으므로 상속개시일인 현재의 이 사건 부동산의 시가로 인정할 수 있음,서울고등법원,하급심,일반행정,2024.10.11
5094,418214,별개의 법률행위에 따른 권리 포기가액 등은 양도가액 감액사유에 해당하지 않음,서울고등법원,하급심,일반행정,2024.11.06
5095,230939,유족급여및장의비부지급처분취소,대법원,대법원,일반행정,2022.01.13
5096,418224,현금 증여 행위가 사해행위에 해당하는지 여부,서울중앙지방법원,하급심,일반행정,2024.10.02
5097,231735,특정경제범죄가중처벌등에관한법률위반(사기),대법원,대법원,형사,2022.09.29
5098,418578,매출누락금액 산정의 적정 여부,서울고등법원,하급심,일반행정,2024.10.02
5099,219909,파면처분취소,서울고법,대법원,일반행정,2021.11.03
5100,418592,상속으로 인한 납세의무승계 및 연대납세의무,창원지방법원,하급심,일반행정,2024.07.10
5101,219407,부당이득금,대법원,대법원,민사,2021.08.19
5102,219447,건물명도,대법원,대법원,민사,2021.07.08
5103,219441,유가보조금환수처분취소,대법원,대법원,일반행정,2021.07.21
5104,418290,가등기말소,제주지방법원,하급심,민사,2024.10.25
5105,418302,근저당권의 피담보채권이 소멸시효 10년 경과로 완성되었는지 여부,서울남부지방법원,하급심,민사,2024.08.22
5106,418306,주식의 시가 평가액이 적법한지 여부,서울고등법원,하급심,일반행정,2024.07.18
5107,418320,"피고가 송금받은 돈을 자기 채무의 이자 변제명목으로 사용하였다면, 위 돈을 피고에게 무상으로 귀속시키기로 한 증여의 합의가 있었다고 봄이 상당함",수원고등법원,하급심,일반행정,2024.10.24
5108,220239,"소유권이전등기·소유권이전등기[피고로부터 부동산을 증여받은 원고들이 피고를 상대로 증여를 원인으로 하여 위 부동산에 대한 소유권이전등기청구를 하자, 피고가 원고들 중 1인의 피고에 대한 범죄행위가 있었음을 이유로 증여의 해제를 주장한 사건]",대법원,대법원,민사,2022.03.11
5109,231505,이행명령위반(과태료),대법원,대법원,민사,2022.01.04
5110,219553,전자금융거래법위반,대법원,대법원,형사,2021.12.30
5111,231509,해고무효확인,대법원,대법원,민사,2021.12.30
5112,220267,손해배상등청구의소,서울고법,하급심,민사,2021.11.24
5113,231523,약정금,대법원,대법원,민사,2021.12.30
5114,220281,의견표명사건각하결정취소의소,서울행법,하급심,일반행정,2022.03.10
5115,418654,배당 적법 여부,고양지원,하급심,민사,2024.09.06
5116,220297,공사대금,대법원,대법원,민사,2022.04.14
5117,219665,유가보조금환수처분취소,대법원,대법원,일반행정,2021.07.29
5118,418670,도시 및 주거환경정비법에 따라 1+1 분양을 받은 자를 과세기준일 현재 2주택 이상자로 본 종합부동산세 과세처분은 헌법에 위배되지 않음,서울행정법원,하급심,일반행정,2024.10.15
5119,219693,손해배상(기),대법원,대법원,민사,2022.02.10
5120,418684,민간임대주택법 제6조 제5항에 따라 임대의무기간 5년 경과를 이유로 임대주택에 관하여 유효한 임대사업자등록이 유지되지 않은 이상 종합부동산세 합산배제 임대주택에 해당한다고 볼 수 없음,서울행정법원,하급심,일반행정,2024.11.01
5121,418688,제출한 증거들만으로는 토지의 취득 당시 실지거래가액을 확인할수 없음,울산지방법원,하급심,일반행정,2024.10.08
5122,418436,"명의도용을 당하였다는 청구주장의 당부, 원고에게 양도소득이 귀속되었는지 여부",의정부지방법원,하급심,일반행정,2024.06.05
5123,219791,저작권법위반방조,대법원,대법원,형사,2021.11.25
5124,232805,도로교통법위반(음주운전),대법원,대법원,형사,2022.06.30
5125,231679,공무원보수지급,대법원,대법원,일반행정,2022.10.14
5126,232097,위계공무집행방해·건조물침입,대법원,대법원,형사,2022.04.14
5127,230899,모욕,대법원,대법원,형사,2022.08.25
5128,240681,성폭력범죄의처벌등에관한특례법위반(촬영물등이용협박)·스토킹범죄의처벌등에관한법률위반·주거침입·상관모욕,서울고법,하급심,형사,2024.03.29
5129,230453,강제집행면탈,전주지법,하급심,형사,2020.07.21
5130,230467,의사자인정거부처분취소,서울행법,하급심,일반행정,2020.09.10
5131,230471,주주총회결의무효확인,전주지법,하급심,민사,2020.10.29
5132,230917,증여세부과처분무효확인등,대법원,대법원,세무,2022.03.11
5133,231529,인사발령무효확인등,대법원,대법원,민사,2021.12.30
5134,230881,소유권이전등기,대법원,대법원,민사,2022.08.31
5135,230957,연차수당지급,대법원,대법원,민사,2022.09.07
5136,231569,가정폭력범죄의처벌등에관한특례법위반,대법원,대법원,형사,2022.01.14
5137,231759,부당이득금반환[구분소유자가 아닌 집합건물 대지의 공유지분권자가 구분소유자를 상대로 대지의 사용·수익에 따른 부당이득반환을 청구하는 사건],대법원,대법원,민사,2022.08.25
5138,231579,공전자기록등불실기재·불실기재공전자기록등행사,대법원,대법원,형사,2022.01.13
5139,231801,출판물에의한명예훼손·모욕,대법원,대법원,형사,2022.10.27
5140,231961,마약류관리에관한법률위반(대마)·마약류관리에관한법률위반(향정),대법원,대법원,형사,2022.11.17
5141,232019,개인정보보호법위반,대법원,대법원,형사,2022.11.10
5142,231981,손해배상(기),대법원,대법원,민사,2022.11.10
5143,232003,임금,대법원,대법원,민사,2022.03.17
5144,232001,과징금부과처분등취소청구의소,대법원,대법원,일반행정,2022.06.16
5145,226691,협약무효확인등청구의소,대법원,대법원,일반행정,2020.12.30
5146,226695,자의성과본의변경허가,대전가정법원,하급심,가사,2021.01.05
5147,242431,피고는 행정심판전치주의에 의한 불복절차를 거치지 않고 소를 제기하여 국세기본법 50조의 규정에 위배되는 소를 제기하였음,대구지방법원,하급심,일반행정,2024.08.22
5148,242293,현금증여 사해행위 해당여부,수원지방법원,하급심,일반행정,2024.07.17
5149,242295,사해행위 해당여부,수원지방법원,하급심,민사,2023.11.29
5150,242319,부당이득의 반환,수원지방법원,하급심,일반행정,2024.04.18
5151,231807,정보비공개결정취소,대법원,대법원,일반행정,2022.05.26
5152,226453,구상금,대법원,대법원,민사,2020.07.23
5153,242345,"사업자가 공급가액에서 차감하는 봉사료로 인정받기 위해서는 원칙적으로 카드매출전표 등에 봉사료를 다른 용역 등의 대가와 구분하여 기재하였을 뿐만 아니라, 이를 해당 종업원에게 실제로 지급한 사실을 확인할 수 있는 봉사료지급대장과 같은 객관적 증빙자료를 구비하여야 함",서울고등법원,하급심,일반행정,2025.01.17
5154,242383,주거용 오피스텔은 소득세법상 주택에 해당하므로 주택수에 산입됨,대법원,대법원,일반행정,2024.10.10
5155,226479,주민소송[지방자치법 제17조 제2항 제4호 주민소송에 관한 사건],대법원,대법원,일반행정,2020.07.29
5156,231837,부가가치세경정거부처분취소,대법원,대법원,세무,2022.04.14
5157,226495,부당이득금반환,부산지방법원 동부지원,하급심,민사,2020.08.25
5158,242527,추심금 지급,대구지방법원,하급심,일반행정,2024.01.28
5159,226769,권리범위확인(특),대법원,대법원,특허,2021.01.28
5160,226517,교육세부과처분취소,대법원,대법원,세무,2020.09.03
5161,231589,양도소득세경정거부처분취소,대법원,대법원,세무,2021.12.30
5162,226529,임시이사선임처분취소청구의소,대법원,대법원,일반행정,2020.09.03
5163,242461,(심리불속행) 대등한 당사자 사이의 공방을 전제로 하는 행정소송에서는 형사소송의 위법수집증거배제법칙이 그대로 적용된다고 볼 수 없음,대법원,대법원,일반행정,2023.12.14
5164,242551,쟁점세금계산서를 사실과 다른 세금계산서인지 여부,대전지방법원,하급심,일반행정,2024.07.03
5165,242561,상속재산분할이 완료되기 전 주된 상속자에게 부과처분하도록 규정된 종부세 법령은 적법함,서울행정법원,하급심,일반행정,2024.10.15
5166,226571,구상금,대법원,대법원,민사,2020.10.15
5167,242503,국가가 양수인의 동의없이 환급금을 양도인에게 지급한 것은 위법함,수원지방법원,하급심,일반행정,2024.05.22
5168,242601,이 사건 쟁점보험금의 지급행위가 증여인지 여부,대전지방법원,하급심,일반행정,2024.05.28
5169,231555,명예훼손,대법원,대법원,형사,2022.02.11
5170,225947,근로자지위확인등,서울중앙지법,하급심,민사,2020.01.09
5171,242655,채권압류 추심,동부지원,하급심,일반행정,2024.05.09
5172,242673,이 사건 토지는 경제적 실질이 연속된 하나의 거래를 2개로 나누어 과세기간을 달리하여 조세감면을 부당하게 받으려는 목적으로 양도함,인천지방법원,하급심,일반행정,2024.07.23
5173,231817,증여세부과처분취소,대법원,대법원,세무,2022.05.26
5174,226089,이행명령,수원가정법원,하급심,가사,2020.02.07
5175,225995,청구이의의소등,대법원,대법원,민사,2020.01.16
5176,242373,실제사업자가 아닌 사업명의자가 납부한 부가가치세는 부당이득에 해당함,서울중앙지방법원,하급심,민사,2024.12.11
5177,418868,"초과배당금액에 대한 증여세액의 산정방법을 별도로 정하고 있지 않으므로, 상증세법에서 정한 일반적인 증여세액 산정방법에 의하여 산정하여야 함",대법원,대법원,일반행정,2024.03.12
5178,226031,손해배상(자),대법원,대법원,민사,2020.01.30
5179,418874,원고가 은행에게 제공한 용역은 부가가치세 면제대상에 해당하지 않음,서울고등법원,하급심,일반행정,2024.06.20
5180,242529,1주택을 소유한 납세의무자 이외에 다른 세대원이 위 상속주택을 소유한 경우에는 종부세법에서 정한 ‘1세대 1주택자’에 해당한다고 볼 수 없음,서울행정법원,하급심,일반행정,2024.11.08
5181,242621,철거된 건물의 취득가액을 토지의 필요경비에 산입할 수 있는지 여부,서울행정법원,하급심,일반행정,2024.11.27
5182,418896,"해외주택은 국내재산이 아니므로 취득자금 수증분은 상증세법상 거주자인 경우 증여세 과세대상이 되고, 거주자 해당여부는 각 증여시점별로 판단하는 것이 타당함",서울행정법원,하급심,일반행정,2023.12.26
5183,242685,심판청구의 전심절차를 거치지 않아 부적법함,대구고등법원,하급심,일반행정,2024.01.19
5184,242697,주식변동명세서 불성실 가산세,광주고등법원(제주),하급심,일반행정,2024.08.28
5185,226107,여객자동차운수사업법위반,서울중앙지법,하급심,형사,2020.02.19
5186,242711,특정외국법인의 처분전 이익잉여금,대법원,대법원,일반행정,2024.05.30
5187,226125,시정명령등취소청구의소,대법원,대법원,일반행정,2020.02.27
5188,418920,비상장법인의 순자산가액 평가시 주식의 장부가액은 취득가액을 의미함,서울고등법원,하급심,일반행정,2024.04.12
5189,226133,항만시설사용료요율변경등취소청구,대법원,대법원,일반행정,2020.02.27
5190,226353,유족급여및장의비부지급처분취소[산업재해보상보험법상 상당인과관계 인정 여부 사건],대법원,대법원,일반행정,2020.05.28
5191,226385,정정보도등청구의소,서울서부지법,하급심,민사,2020.06.10
5192,226243,손해배상(의),대법원,대법원,민사,2020.04.09
5193,242827,소급 감정평가한 가액을 시가로 볼 수 있는지 여부,광주고등법원,하급심,일반행정,2024.09.26
5194,242841,국세징수법상 체납처분절차,수원지방법원,하급심,민사,2023.05.16
5195,242331,국내에서 계속성 있는 금융투자활동을 영위해왔다고 볼 수 없는 외국법인이 국내자산 대상주식과 관련해 제공받은 일시적인 경제적 이익은 국내원천 기타소득으로 보는 것이 타당함,수원지방법원,하급심,일반행정,2023.06.29
5196,226325,도로교통법위반(음주측정거부),서울중앙지방법원,하급심,형사,2020.05.22
5197,226655,시정명령등취소,대법원,대법원,일반행정,2020.12.24
5198,226355,건물명도(인도),대법원,대법원,민사,2020.05.28
5199,240687,서울광장사용신고불수리처분취소,서울행법,하급심,일반행정,2024.03.07
5200,234391,손해배상(자),대법원,대법원,민사,2023.03.16
5201,233333,주주총회소집허가,부산지방법원,하급심,민사,2022.07.28
5202,233871,양수금,대법원,대법원,민사,2023.02.02
5203,234057,횡령,대법원,대법원,형사,2022.12.29
5204,233897,학원의설립·운영및과외교습에관한법률위반[이 사건 스터디카페가 「학원의 설립·운영 및 과외교습에 관한 법률」(이하 ‘학원법’)상 등록을 요하는 독서실인지가 문제된 사건],대법원,대법원,형사,2023.02.02
5205,232829,형사보상일부인용결정에대한항고,서울고법,하급심,형사,2022.08.17
5206,234447,손해배상(기),대법원,대법원,민사,2023.03.30
5207,234457,부당이득금,대법원,대법원,민사,2023.03.30
5208,232907,전자금융거래법위반,대법원,대법원,형사,2022.07.28
5209,234605,추심금·추심금,대법원,대법원,민사,2023.04.13
5210,232923,법인세등부과처분취소,대법원,대법원,세무,2022.07.28
5211,232989,분배금청구,대법원,대법원,민사,2022.04.14
5212,241589,종합소득세부과처분취소등[홍콩에 설립된 외국법인의 주식 등이 정관에 의하여 양도가 제한된 경우로서 구 국세기본법 제40조 제1항 제2호에서 정한 법인의 제2차 납세의무 요건을 충족하는지 여부가 문제된 사건],대법원,대법원,세무,2024.09.12
5213,235023,평균임금정정불승인및보험급여차액부지급처분취소[여러 사업장에서 근무하다 퇴직한 후 진폐 진단을 받은 경우 산업재해보상보험법상 보험급여의 산정기준이 되는 평균임금을 계산하는 방법이 문제된 사건],대법원,대법원,일반행정,2023.06.01
5214,240733,약정금,대법원,대법원,민사,2024.04.25
5215,235211,소송비용액확정,대법원,대법원,가사,2022.03.22
5216,234619,마약류관리에관한법률위반(향정)(예비적죄명:마약류불법거래방지에관한특례법위반),서울고법,하급심,형사,2023.02.02
5217,234779,추심금,대법원,대법원,민사,2023.05.18
5218,235325,추심금,대법원,대법원,민사,2022.08.31
5219,237645,손해배상(기),대법원,대법원,민사,2022.10.14
5220,235367,청구이의,대법원,대법원,민사,2022.07.28
5221,243363,"(심리불속행) 과세전적부심사는 과세처분의 필수전제가 아니며, 공동사업 개시일을 동업계약서상 명시된 날짜로 보아 과세한 처분은 적법함",대법원,대법원,일반행정,2024.11.28
5222,235459,판결경정,대법원,대법원,민사,2022.06.08
5223,243415,증자에 따른 이익의 증여,청주지방법원,하급심,일반행정,2024.08.29
5224,501671,주택의 소수 지분을 보유한 경우에도 다주택자로 보아 종합부동산세를 적용하는지 여부,서울고등법원,하급심,일반행정,2024.05.10
5225,243989,이 사건 보험계약자 명의변경은 사해행위에 해당하여 취소함,수원지방법원,하급심,일반행정,2024.06.12
5226,235379,등록무효(실),대법원,대법원,특허,2022.07.28
5227,235389,소유권이전등기절차이행,대법원,대법원,민사,2022.07.14
5228,235371,퇴직금등청구의소,대법원,대법원,민사,2022.07.28
5229,235409,소유권말소등기,대법원,대법원,민사,2022.07.14
5230,600135,"법인 대표이사가 가족들 명의로 개인사업자를 만들어 세금계산서를 수수한 행위와 관련, 이를 정상거래로 볼 수 있는 사정이 없어 가공거래에 해당함",수원고등법원,하급심,일반행정,2024.12.13
5231,600143,근저당권의 피담보채무에 대해 채무승인으로 시효중단이 된 경우 근저당설정등기를 말소할 수 없음,서울북부지방법원,하급심,민사,2024.12.17
5232,244259,배우자 증여를 끼워넣은 거래에 관하여 의제배당으로 보아 과세한 처분의 당부,수원지방법원,하급심,일반행정,2024.07.11
5233,342385,주택재건축조합의 조합장인 원고에게 이 사건 조합의 조세채무에 관한 납세의무가 있는지,대법원,대법원,일반행정,2025.02.13
5234,244481,"피담보채권이 소멸시효 완성으로 소멸하였으므로, 그 부종성에 따라 근저당권도 소멸하였음",대전지방법원,하급심,민사,2024.01.30
5235,235453,등록무효(특),대법원,대법원,특허,2022.06.16
5236,244829,이 사건 재건축조합의 성격 및 이 사건 소유권보존등기의 적법 여부,서울서부지방법원,하급심,민사,2024.01.24
5237,237075,양수금,대법원,대법원,민사,2022.07.28
5238,244971,이 사건 상속재산분할협의가 사해행위에 해당하는지 여부,대구지방법원,하급심,일반행정,2024.05.21
5239,343719,심리불속행 사유에 해당하여 상고를 기각한 것은 상고이유에 대한 판단을 누락한 것에 해당하지 아니함,대법원,대법원,일반행정,2024.10.31
5240,235481,사해행위취소,대법원,대법원,민사,2022.05.13
5241,500755,이 사건 근저당권설정등기의 말소등기절차를 이행할 의무가 있는지 여부,의정부지방법원,하급심,민사,2024.10.15
5242,235627,부양료,대법원,대법원,가사,2022.08.25
5243,243397,채무승계하고 현물 출연한 경우 기부가액 산정 및 기부금 한도 초과 손금불산입 처분,대전고등법원(청주),하급심,일반행정,2024.09.25
5244,236935,식품위생법위반,대법원,대법원,형사,2023.07.13
5245,243697,이 사건 압류처분은 징계부가금의 소멸시효 완성 전 이루어진 것으로 적법함,수원지방법원,하급심,일반행정,2024.05.16
5246,244035,이 사건 업체를 공동사업으로 보아 연대납세의무를 부과한 처분은 적법함,수원지방법원,하급심,일반행정,2024.03.07
5247,244103,원고가 BB 주주들의 매도대리인 역할을 하고 해당금액을 받은 것으로 본 처분은 적법함(일부국패),수원지방법원,하급심,일반행정,2024.04.25
5248,244123,기부금세액공제가 이루어지기 위해서는 해당 종교단체의 고유목적사업비로 지출하는 기부금에 해당되어야 함,서울고등법원,하급심,일반행정,2024.05.10
5249,243393,제척기간 경과 근저당권 말소,서울북부지방법원,하급심,민사,2024.10.29
5250,244205,구 법인세법 시행령 제11조 제9호에서 말하는 특수관계인에는 법인주주 뿐만 아니라 개인주주도 포함됨,서울중앙지방법원,하급심,민사,2024.05.22
5251,235639,보험금,서울고등법원,하급심,민사,2020.12.16
5252,244439,이 사건 바이럴마케팅 용역비는 사회질서에 반하여 지출된 비용으로 통상적인 비용에 해당하지 아니함,서울고등법원,하급심,일반행정,2024.05.23
5253,244459,부과제척기간 경과 여부,서울고등법원,하급심,일반행정,2024.08.20
5254,244893,주식명의신탁에 대한 경영상 목적이 인정되므로 명의신탁 증여의제에 따른 처분은 위법함,서울행정법원,하급심,일반행정,2024.04.16
5255,245013,이 사건 상속재산분할협의가 사해행위에 해당하는지 여부,서울북부지방법원,하급심,민사,2024.04.03
5256,245065,주권압류에 따른 발행 및 인도 청구,안산지원,하급심,민사,2024.05.02
5257,235911,공전자기록등불실기재·불실기재공전자기록등행사·불실기재여권행사·출입국관리법위반,대법원,대법원,형사,2022.04.28
5258,236701,대여금,대법원,대법원,민사,2022.08.25
5259,245919,가등기 말소등기청구에 대한 승낙의 의사표시,천안지원,하급심,민사,2023.08.31
5260,342823,명의자가 거래 실질이 귀속자가 아니라는 점이 상당한 정도로 입증되었다면 입증책임은 과세관청에 돌아감,인천지방법원,하급심,일반행정,2024.09.05
5261,343115,(심리불속행) 이 사건 처분이 국세환급금 환수처분인지 여부,대법원,대법원,일반행정,2024.11.14
5262,236925,공사대금,서울고법,하급심,민사,2023.05.25
5263,246239,각 부동산의 명의신탁 여부 및 양도대금 전액 지급 여부에 대한 판단,안동지원,하급심,민사,2023.11.07
5264,236947,종합소득세경정거부처분취소,서울고법,하급심,세무,2023.05.16
5265,236049,과실치상,서울중앙지법,하급심,형사,2023.06.02
5266,246403,사해행위취소,전주지방법원,하급심,일반행정,2023.12.06
5267,246409,배당이의,의정부지방법원,하급심,민사,2023.11.17
5268,246531,"2017년 과세기간의 수입금액은 법령에서 정한 금액을 초과함이 명백하여 단순경비율 적용대상자에 해당하지 않고, 기준경비율 적용대상자에 해당하므로 분양수입에 기준경비율을 적용한 처분은 적법함",서울행정법원,하급심,일반행정,2023.11.17
5269,237079,매매대금반환,대법원,대법원,민사,2022.08.11
5270,342831,사실과 다른 세금계산서에 해당함,서울고등법원,하급심,일반행정,2024.12.11
5271,237259,보증금반환,부산지방법원,하급심,민사,2023.02.10
5272,236825,이혼및친권자지정[통신비밀보호법에서 정한 통신사실확인자료의 제출을 명하는 법원의 문서제출명령에 대하여 전기통신사업자가 통신비밀보호법의 규정을 근거로 자료의 제출을 거부하자 그에 대한 제재로서 과태료를 부과한 사건],대법원,대법원,가사,2023.07.17
5273,343225,사례금 해당여부,서울행정법원,하급심,일반행정,2023.10.12
5274,237199,증여세부과처분취소,대법원,대법원,세무,2023.06.01
5275,236795,부당이득금[토지보상법에 따른 지장물 보상을 한 사업시행자가 현금청산대상자에 대하여 이전대상 건물 및 토지의 점유로 인한 부당이득반환을 구하는 사건],대법원,대법원,민사,2023.08.18
5276,343443,사해행위 해당여부,서울고등법원,하급심,민사,2023.10.20
5277,237597,입찰방해[입찰방해죄에서 입찰의 공정을 해하는 행위의 의미 및 피고인들의 행위가 담합행위에 해당하는지에 관한 사안],대법원,대법원,형사,2023.09.21
5278,237607,개인회생,인천지방법원,하급심,민사,2023.05.19
5279,237233,교권보호위원회조치처분취소[학부모의 지속적인 담임교체 요구가 교육활동 침해행위인 반복적인 부당한 간섭에 해당한다고 판단한 사건],대법원,대법원,일반행정,2023.09.14
5280,499547,사실과 다른 세금계산서인지 여부,서울행정법원,하급심,일반행정,2024.10.30
5281,499593,"미국, 괌, 사이판을 하나의 국가로 보아 외국납부세액공제 한도를 계산할 수 있는지 여부",서울행정법원,하급심,일반행정,2024.12.06
5282,237541,소송비용액확정,대법원,대법원,민사,2023.09.27
5283,237581,성폭력범죄의처벌등에관한특례법위반(친족관계에의한강제추행)[인정된죄명:아동·청소년의성보호에관한법률위반(위계등추행)][폭행·협박 선행형의 강제추행죄에서 ‘폭행 또는 협박’의 의미],대법원,대법원,형사,2023.09.21
5284,237537,손해배상(기),대법원,대법원,민사,2023.09.27
5285,240781,교통사고처리특례법위반(치상)·도로교통법위반(음주운전),대전지방법원,하급심,형사,2023.09.07
5286,240893,살인·상해·마약류관리에관한법률위반(마약)·마약류관리에관한법률위반(향정)·부착명령,대법원,대법원,형사,2023.11.16
5287,241047,공유물분할[친권자가 수인의 미성년자의 법정대리인으로서 소송행위를 한 경우의 효력이 문제된 사건],대법원,대법원,민사,2024.07.11
5288,241045,부정경쟁행위중지등[「부정경쟁방지 및 영업비밀보호에 관한 법률」(이하 ‘부정경쟁방지법’)상 금지청구권자 해당 여부가 문제된 사건],대법원,대법원,민사,2024.07.11
5289,240949,중재판정의승인및집행허가[중재지의 의미 및 중재합의 시 중재지의 해석이 문제된 사건],대법원,대법원,민사,2024.06.27
5290,241233,근로에관한소송·근로에관한소송·근로에관한소송[파견근로자가 근로자파견관계의 성립을 주장하면서 고용의무이행과 함께 임금 차액 상당의 손해배상금 지급을 청구한 사건],대법원,대법원,민사,2024.07.25
5291,241037,손해배상(지)[저작권신탁관리업자가 홈페이지 등에 저작물을 이용한 평가문제를 게시한 공공기관을 상대로 손해배상을 구하는 사건],대법원,대법원,민사,2024.07.11
5292,241659,손해배상(기),대법원,대법원,민사,2024.05.17
5293,241687,아동학대범죄의처벌등에관한특례법위반(아동학대살해)(예비적죄명:살인)·사체유기,부산지법,하급심,형사,2024.05.24
5294,241795,부정청탁및금품등수수의금지에관한법률위반[「부정청탁 및 금품등 수수의 금지에 관한 법률」(이하 ‘청탁금지법’) 제8조 제1항의 공직자등에 대한 향응 가액 산정 방법이 문제된 사건],대법원,대법원,형사,2024.10.08
5295,241855,건물등철거[집합건물과 일반건물이 1필의 대지에 공존하고 있는 상황에서 집합건물 구분소유자들이 일반건물 소유자들을 상대로 일반건물철거 및 대지 인도를 구할 수 있는지 여부가 문제된 사건],대법원,대법원,민사,2024.10.31
5296,241871,거절결정(상),대법원,대법원,특허,2024.10.31
5297,241353,손해배상(기),대법원,대법원,민사,2024.04.04
5298,237895,시정조치명령처분취소의소,서울고법,하급심,일반행정,2023.09.01
5299,237991,가압류취소,대전지방법원,하급심,민사,2020.08.10
5300,238189,임대차보증금[다가구주택 임대차계약을 중개한 공인중개사의 주의의무 이행 여부가 문제된 사건],대법원,대법원,민사,2023.11.30
5301,238201,저작권법위반[저작인격권 침해로 인한 저작권법위반죄 해당 여부가 문제된 사건],대법원,대법원,형사,2023.11.30
5302,237949,손해배상(기),대법원,대법원,민사,2023.10.26
5303,238403,법인세부과처분취소,대법원,대법원,세무,2023.06.01
5304,237925,토지인도[임대인이 임차인을 상대로 원상회복으로 종전 임차인 등이 설치한 부분의 철거를 구한 사건],대법원,대법원,민사,2023.11.02
5305,237943,의료법위반·특정경제범죄가중처벌등에관한법률위반(사기)방조·의료법위반방조[적법하게 개설되지 않은 의료기관의 실질 개설·운영자가 의료급여비용 명목의 금원을 편취한 사건],대법원,대법원,형사,2023.10.26
5306,600269,이 사건 부동산에 대한 피고들의 근저당권 설정은 말소되어야 하는지 여부,서울서부지방법원,하급심,일반행정,2024.09.11
5307,238295,도로교통법위반(음주운전),대법원,대법원,형사,2022.11.17
5308,238303,수당금,대법원,대법원,일반행정,2022.11.17
5309,601851,손실보상금,서울고등법원,하급심,일반행정,2023.11.01
5310,601867,성매매알선등행위의처벌에관한법률위반(성매매알선등),의정부지방법원,하급심,형사,2020.06.25
5311,601941,예금채권압류처분무효확인,서울고등법원,하급심,세무,2023.11.17
5312,601465,보험금,서울중앙지방법원,하급심,민사,2021.11.04
5313,602693,이 사건 합의금은 ‘자산 취득에 든 실지거래가액’으로서 양도가액에서 공제되는 필요경비에 해당하지 않음,서울행정법원,하급심,일반행정,2025.01.16
5314,601507,손실보상금[하천편입토지 보상 등에 관한 특별조치법 제2조 제3호에 따른 손실보상을 청구한 사건],대법원,대법원,일반행정,2024.05.30
5315,241361,수출신용보증금등청구의소,대법원,대법원,민사,2024.03.28
5316,238225,사기·주민등록법위반·사서명위조·위조사서명행사·절도·업무방해,대법원,대법원,형사,2023.03.16
5317,600229,해당 공사대금을 양도가액에서 공제할 필요경비로 볼 수 없음,서울행정법원,하급심,일반행정,2024.09.11
5318,600239,실지조사와 추계조사를 혼합한 처분은 위법함,서울고등법원,하급심,일반행정,2024.06.19
5319,238251,담배사업법위반,대법원,대법원,형사,2023.01.12
5320,601831,손실보상금,서울행정법원,하급심,일반행정,2022.12.09
5321,600295,보험금[보험계약자가 고지의무를 위반한 사실과 보험사고 발생 사이에 인과관계가 있는지 여부가 문제된 사건],대법원,대법원,민사,2025.01.09
5322,238321,아동학대범죄의처벌등에관한특례법위반(아동복지시설종사자등의아동학대가중처벌),대법원,대법원,형사,2022.10.27
5323,601857,이혼및재산분할등,제주지방법원,하급심,가사,2023.12.11
5324,238013,재산세부과처분취소[오피스텔을 주택으로 취급하여 재산세를 부과할 수 있는지 문제된 사건],대법원,대법원,세무,2023.11.16
5325,600205,증거에 비추어보면 근저당권의 피담보채권이 성립되었다고 봄이 타당함,서울남부지방법원,하급심,민사,2023.09.07
5326,600215,참칭상속인으로 최종 확정되는 경우 원인무효에 의한 소유권이전등기에 해당되어  압류를 승낙해야 할 의무가 있는지,서울북부지방법원,하급심,민사,2024.09.26
5327,600271,토지등양도소득에 대한 과세특례 적용 가부,서울고등법원,하급심,일반행정,2024.07.12
5328,600349,업무방해,서울중앙지방법원,하급심,형사,2022.01.21
5329,601417,집행에관한이의,의정부지방법원 고양지원,하급심,민사,2023.04.12
5330,601419,근로기준법위반,서울중앙지방법원,하급심,형사,2024.01.11
5331,601993,부당이득금,서울고등법원,하급심,민사,2024.03.13
5332,600243,"납세의무가 성립되는 이상, 증여계약을 사해행위취소로 보아 취소하는 것은 적법함",서울고등법원,하급심,민사,2024.10.10
5333,237901,구상금,서울중앙지법,하급심,민사,2023.08.18
5334,600261,"상속으로 취득한 토지의 취득가액을 소득세법 제97조 제5항, 소득세법 시행령 제163조 제9항에 의하여 평가한 것은 적법함",서울행정법원,하급심,일반행정,2024.10.30
5335,601871,무고,서울남부지방법원,하급심,형사,2021.02.08
5336,601879,근로자지위확인등청구의소·근로자지위확인등,서울중앙지방법원,하급심,민사,2020.02.06
5337,601925,보험금,광주고등법원,하급심,민사,2024.01.17
5338,601939,법인세부과처분등취소,서울고등법원,하급심,세무,2023.03.21
5339,238049,소송비용액확정[본안소송과 보전소송을 모두 수행한 소송대리인의 변호사보수에 관한 소송비용액확정 신청사건],대법원,대법원,민사,2023.11.09
